Date,"4 WEEKS BANK DISCOUNT","4 WEEKS COUPON EQUIVALENT","8 WEEKS BANK DISCOUNT","8 WEEKS COUPON EQUIVALENT","13 WEEKS BANK DISCOUNT","13 WEEKS COUPON EQUIVALENT","17 WEEKS BANK DISCOUNT","17 WEEKS COUPON EQUIVALENT","26 WEEKS BANK DISCOUNT","26 WEEKS COUPON EQUIVALENT","52 WEEKS BANK DISCOUNT","52 WEEKS COUPON EQUIVALENT"
03/27/2023,4.07,4.15,4.29,4.39,4.75,4.89,4.76,4.92,4.65,4.84,4.30,4.52
03/24/2023,4.15,4.23,4.35,4.45,4.57,4.70,4.65,4.80,4.56,4.74,4.12,4.32
03/23/2023,4.13,4.21,4.36,4.46,4.57,4.70,4.70,4.85,4.59,4.78,4.18,4.39
03/22/2023,3.98,4.06,4.36,4.46,4.63,4.76,4.77,4.93,4.73,4.93,4.34,4.56
03/21/2023,3.91,3.99,4.31,4.41,4.62,4.75,4.74,4.90,4.74,4.94,4.44,4.67
03/20/2023,4.19,4.27,4.40,4.50,4.65,4.78,4.70,4.85,4.58,4.77,4.20,4.39
03/17/2023,4.18,4.26,4.39,4.49,4.36,4.48,4.66,4.81,4.51,4.69,4.12,4.30
03/16/2023,3.93,4.01,4.49,4.60,4.57,4.70,4.78,4.94,4.72,4.92,4.32,4.52
03/15/2023,4.06,4.14,4.38,4.48,4.59,4.72,4.72,4.87,4.53,4.71,4.04,4.22
03/14/2023,4.27,4.36,4.61,4.72,4.71,4.85,4.80,4.96,4.71,4.91,4.27,4.47
03/13/2023,4.45,4.54,4.66,4.77,4.70,4.84,4.73,4.89,4.59,4.78,4.13,4.32
03/10/2023,4.64,4.73,4.76,4.88,4.83,4.97,4.93,5.10,4.93,5.14,4.68,4.91
03/09/2023,4.66,4.75,4.81,4.93,4.87,5.01,5.04,5.21,5.07,5.29,4.93,5.19
03/08/2023,4.59,4.68,4.71,4.82,4.89,5.03,5.06,5.23,5.09,5.31,4.99,5.25
03/07/2023,4.63,4.72,4.71,4.82,4.87,5.01,4.96,5.13,5.07,5.29,4.96,5.22
03/06/2023,4.59,4.68,4.64,4.75,4.76,4.90,4.87,5.03,4.98,5.19,4.81,5.06
03/03/2023,4.59,4.68,4.65,4.76,4.74,4.87,4.87,5.03,4.94,5.15,4.79,5.03
03/02/2023,4.59,4.68,4.67,4.78,4.74,4.88,4.88,5.04,4.94,5.15,4.80,5.05
03/01/2023,4.52,4.60,4.63,4.73,4.73,4.87,4.89,5.05,4.96,5.17,4.81,5.06
02/28/2023,4.52,4.60,4.64,4.74,4.72,4.86,4.82,4.97,4.93,5.14,4.78,5.03
02/27/2023,4.54,4.62,4.66,4.76,4.74,4.88,4.85,5.00,4.94,5.15,4.79,5.04
02/24/2023,4.55,4.63,4.67,4.77,4.72,4.84,4.85,5.00,4.91,5.10,4.80,5.05
02/23/2023,4.53,4.61,4.67,4.77,4.71,4.83,4.84,4.99,4.90,5.09,4.78,5.03
02/22/2023,4.49,4.57,4.64,4.74,4.71,4.83,4.84,4.99,4.93,5.13,4.82,5.07
02/21/2023,4.50,4.58,4.66,4.76,4.72,4.84,4.80,4.94,4.92,5.12,4.82,5.07
02/17/2023,4.51,4.59,4.65,4.75,4.70,4.82,4.78,4.92,4.84,5.03,4.78,5.02
02/16/2023,4.53,4.61,4.65,4.75,4.70,4.82,4.79,4.93,4.83,5.02,4.77,5.01
02/15/2023,4.51,4.59,4.62,4.72,4.66,4.78,4.79,4.93,4.82,5.01,4.74,4.98
02/14/2023,4.50,4.58,4.62,4.72,4.67,4.79,4.74,4.88,4.83,5.02,4.76,5.00
02/13/2023,4.53,4.61,4.62,4.72,4.68,4.80,4.73,4.87,4.84,5.03,4.69,4.92
02/10/2023,4.53,4.61,4.61,4.71,4.66,4.78,4.73,4.87,4.75,4.93,4.66,4.89
02/09/2023,4.53,4.61,4.61,4.71,4.64,4.76,4.71,4.85,4.76,4.94,4.66,4.89
02/08/2023,4.51,4.59,4.53,4.62,4.59,4.71,4.70,4.84,4.74,4.92,4.64,4.87
02/07/2023,4.49,4.57,4.52,4.61,4.59,4.71,4.64,4.78,4.75,4.93,4.66,4.89
02/06/2023,4.49,4.57,4.51,4.60,4.59,4.71,4.64,4.78,4.75,4.93,4.63,4.86
02/03/2023,4.48,4.56,4.51,4.60,4.57,4.69,4.64,4.78,4.68,4.86,4.57,4.80
02/02/2023,4.49,4.57,4.50,4.59,4.53,4.65,4.59,4.73,4.62,4.80,4.43,4.64
02/01/2023,4.46,4.54,4.50,4.59,4.54,4.66,4.62,4.76,4.65,4.83,4.45,4.67
01/31/2023,4.45,4.53,4.51,4.60,4.58,4.70,4.60,4.74,4.67,4.85,4.47,4.69
01/30/2023,4.47,4.55,4.51,4.60,4.59,4.71,4.62,4.76,4.68,4.86,4.49,4.71
01/27/2023,4.48,4.56,4.51,4.60,4.57,4.69,4.62,4.76,4.67,4.85,4.46,4.68
01/26/2023,4.49,4.57,4.53,4.63,4.55,4.67,4.63,4.77,4.66,4.84,4.46,4.68
01/25/2023,4.47,4.55,4.52,4.61,4.56,4.68,4.62,4.76,4.65,4.83,4.45,4.67
01/24/2023,4.49,4.57,4.54,4.64,4.57,4.69,4.62,4.76,4.70,4.88,4.47,4.69
01/23/2023,4.49,4.57,4.52,4.62,4.58,4.70,4.62,4.76,4.68,4.86,4.51,4.72
01/20/2023,4.48,4.56,4.51,4.60,4.57,4.69,4.61,4.75,4.66,4.84,4.49,4.70
01/19/2023,4.49,4.57,4.53,4.63,4.55,4.67,4.61,4.75,4.65,4.83,4.47,4.68
01/18/2023,4.39,4.47,4.49,4.58,4.54,4.66,4.61,4.75,4.65,4.83,4.45,4.66
01/17/2023,4.40,4.48,4.50,4.59,4.56,4.68,4.61,4.75,4.68,4.86,4.47,4.68
01/13/2023,4.38,4.46,4.46,4.55,4.51,4.62,4.60,4.74,4.64,4.81,4.48,4.69
01/12/2023,4.37,4.45,4.47,4.56,4.50,4.61,4.61,4.75,4.62,4.80,4.46,4.67
01/11/2023,4.20,4.27,4.48,4.57,4.57,4.69,4.69,4.83,4.70,4.88,4.53,4.75
01/10/2023,4.20,4.27,4.47,4.56,4.57,4.69,4.64,4.78,4.71,4.89,4.53,4.75
01/09/2023,4.17,4.24,4.44,4.53,4.55,4.67,4.60,4.74,4.69,4.87,4.48,4.70
01/06/2023,4.14,4.21,4.43,4.52,4.51,4.62,4.61,4.75,4.65,4.83,4.50,4.72
01/05/2023,4.12,4.19,4.44,4.53,4.51,4.62,4.62,4.76,4.68,4.86,4.56,4.79
01/04/2023,4.00,4.07,4.28,4.37,4.41,4.52,4.58,4.71,4.64,4.82,4.49,4.71
01/03/2023,3.96,4.03,4.29,4.38,4.40,4.51,4.57,4.70,4.63,4.81,4.50,4.72
